排名,推薦評分,代號,名稱,標的證券,標的證券ROI%,DELTA,剩餘期間(日),有效槓桿,成本槓桿,隱含波動,歷史波動性,IV_HV_ratio,溢價比率%,當日成交量,未履約數,流通在外比例(%),THETA,VEGA,履約價(元),權證收盤價(元),標的證券價格(元)
1,60.8,064536,強茂永豐5B購02,2481   強茂,0.3401,0.049,182,2.418,4.93,0.5859,0.5891,0.994567985061959,29.59,568,4500,17.78,-2.363,4.114,161.25,2.99,147.5
2,60.3,060728,強茂富邦61購01,2481   強茂,0.3401,0.024,245,2.176,3.71,0.5858,0.5891,0.9943982345951452,26.82,2516,5000,23.36,-0.797,1.896,147.3,1.63,147.5
3,60.1,059570,強茂凱基5B購03,2481   強茂,0.3401,0.067,176,2.594,3.96,0.5854,0.5891,0.9937192327278901,16.8,282,1000,29.6,-2.217,3.784,135.03,3.8,147.5
4,60.0,064920,強茂富邦5B購02,2481   強茂,0.3401,0.016,183,2.166,4.35,0.5868,0.5891,0.996095739263283,31.48,1416,5000,25.8,-0.778,1.361,160.0,1.12,147.5
5,59.9,060697,強茂永豐5C購01,2481   強茂,0.3401,0.035,212,2.537,4.53,0.5851,0.5891,0.9932099813274486,24.42,469,3000,23.53,-1.346,2.754,150.98,2.05,147.5
6,59.4,067250,強茂永豐61購02,2481   強茂,0.3401,0.019,239,1.975,4.78,0.5864,0.5891,0.995416737396028,43.99,884,5000,11.98,-0.907,2.071,181.5,1.39,147.5
7,59.0,067862,強茂元大5B購05,2481   強茂,0.3401,0.015,182,2.076,5.36,0.5868,0.5891,0.996095739263283,40.68,699,5000,20.5,-0.916,1.584,180.0,1.1,147.5
8,59.0,067902,強茂凱基5B購08,2481   強茂,0.3401,0.02,182,2.154,5.79,0.5865,0.5891,0.9955864878628418,41.33,602,5000,14.06,-1.244,2.152,183.0,1.4,147.5
9,58.9,063190,強茂群益5B購01,2481   強茂,0.3401,0.04,169,2.488,4.69,0.586,0.5891,0.9947377355287728,25.68,459,2134,6.09,-1.856,3.003,153.93,2.39,147.5
10,58.3,053838,強茂凱基5B購01,2481   強茂,0.3401,0.122,183,2.298,3.27,0.5865,0.5891,0.9955864878628418,17.12,36,500,10.8,-3.432,6.128,127.66,7.8,147.5
11,58.3,040979,強茂統一6A購01,2481   強茂,0.3401,0.009,514,1.494,2.13,0.5869,0.5891,0.9962654897300968,31.26,1004,5000,51.9,-0.14,0.743,124.38,0.9,147.5
12,58.1,052969,強茂統一61購01,2481   強茂,0.3401,0.035,239,2.256,2.81,0.5847,0.5891,0.9925309794601935,8.83,270,2500,30.52,-0.57,1.391,108.02,2.31,147.5
13,58.1,060802,強茂元富59購02,2481   強茂,0.3401,0.219,121,2.718,3.78,0.5865,0.5891,0.9955864878628418,13.0,49,1000,36.4,-7.362,8.607,127.66,11.9,147.5
14,58.0,067632,強茂兆豐5C購02,2481   強茂,0.3401,0.025,211,2.291,3.69,0.5859,0.5891,0.994567985061959,22.37,300,5000,1.52,-0.819,1.676,140.5,1.6,147.5
15,57.9,064891,強茂群益5B購02,2481   強茂,0.3401,0.018,183,1.789,3.81,0.5883,0.5891,0.9986419962654899,38.11,485,5000,3.6,-0.922,1.605,165.0,1.51,147.5
16,57.7,066947,強茂永豐63購01,2481   強茂,0.3401,0.022,295,1.841,3.56,0.5865,0.5891,0.9955864878628418,38.93,411,5000,11.14,-0.765,2.182,163.5,1.74,147.5
17,57.7,064851,強茂元大5A購07,2481   強茂,0.3401,0.024,154,2.245,4.95,0.587,0.5891,0.9964352401969105,32.07,1342,5000,39.56,-1.339,1.96,165.0,1.55,147.5
18,57.3,054473,強茂統一71購02,2481   強茂,0.3401,0.007,617,1.121,1.78,0.5891,0.5891,1.0,55.29,871,5000,18.76,-0.12,0.755,146.32,0.91,147.5
19,57.3,057352,強茂元大5C購01,2481   強茂,0.3401,0.064,218,2.053,2.82,0.5871,0.5891,0.9966049906637243,18.4,104,500,37.4,-1.501,3.229,122.26,4.61,147.5
20,57.2,067464,強茂台新5B購01,2481   強茂,0.3401,0.042,178,2.093,4.98,0.5869,0.5891,0.9962654897300968,37.53,179,5000,1.92,-2.36,3.996,173.25,2.96,147.5
21,57.2,068043,強茂統一65購02,2481   強茂,0.3401,0.011,363,1.688,4.01,0.5862,0.5891,0.9950772364624004,56.14,491,5000,2.74,-0.404,1.416,193.5,0.92,147.5
22,57.1,064953,強茂元大5A購09,2481   強茂,0.3401,0.022,155,2.342,4.6,0.5868,0.5891,0.996095739263283,27.83,714,5000,9.0,-1.131,1.672,156.5,1.41,147.5
23,57.1,061555,強茂國泰5A購02,2481   強茂,0.3401,0.09,160,2.638,3.56,0.5853,0.5891,0.9935494822610763,11.28,91,2560,1.25,-2.41,3.779,122.75,5.05,147.5
24,57.1,060443,強茂永豐5B購01,2481   強茂,0.3401,0.031,181,2.0,2.87,0.5884,0.5891,0.9988117467323037,22.04,208,3000,1.27,-0.911,1.602,128.68,2.31,147.5
25,56.9,067819,強茂永豐64購01,2481   強茂,0.3401,0.015,331,1.488,3.64,0.5874,0.5891,0.9971142420641658,58.68,445,5000,1.34,-0.61,1.938,193.5,1.46,147.5
26,56.9,058107,強茂永豐5A購01,2481   強茂,0.3401,0.073,134,2.851,3.99,0.5853,0.5891,0.9935494822610763,11.61,375,2500,2.76,-2.345,3.048,127.66,3.77,147.5
27,56.8,068042,強茂統一65購01,2481   強茂,0.3401,0.008,363,1.45,3.28,0.5874,0.5891,0.9971142420641658,57.69,522,5000,11.82,-0.294,1.028,187.6,0.81,147.5
28,56.7,063163,強茂永豐61購01,2481   強茂,0.3401,0.028,232,1.977,2.47,0.5873,0.5891,0.996944491597352,14.23,194,3000,1.8,-0.468,1.1,108.78,2.09,147.5
29,56.7,060801,強茂元富59購01,2481   強茂,0.3401,0.057,121,2.884,5.12,0.586,0.5891,0.9947377355287728,19.41,942,1750,23.2,-2.931,3.384,147.3,2.94,147.5
30,56.7,053904,強茂永豐59購01,2481   強茂,0.3401,0.048,121,3.073,5.19,0.5854,0.5891,0.9937192327278901,16.72,1025,2500,39.6,-2.287,2.648,143.76,2.3,147.5
